City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
92,Avarua,CK,-21.2078,-159.775,78.85,73,90,11.5,overcast clouds
93,Barcelos,PT,41.5388,-8.6151,64.54,71,0,6.71,clear sky
94,Punta Arenas,CL,-53.15,-70.9167,51.91,66,75,24.16,broken clouds
95,Ballina,AU,-28.8667,153.5667,68.18,71,58,16.26,light rain
96,Nurlat,RU,54.4277,50.8051,42.66,52,100,9.86,light rain
97,Riberalta,BO,-10.9833,-66.1,88.0,58,41,4.61,scattered clouds
98,Providencia,MX,28.7167,-111.5833,100.45,47,2,13.11,clear sky
99,Shinyanga,TZ,-3.6667,33.4333,75.67,40,10,10.63,clear sky
100,Mazagao,BR,-0.115,-51.2894,87.85,83,99,5.77,overcast clouds
101,Mezen,RU,65.8522,44.24,32.81,90,37,1.7,scattered clouds
102,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,81,90,9.22,overcast clouds
103,Salalah,OM,17.0151,54.0924,80.69,89,75,4.61,broken clouds
104,Alappuzha,IN,9.49,76.3264,79.48,86,66,8.7,broken clouds
105,Marquette,US,46.5333,-87.6335,67.44,85,65,15.73,broken clouds
106,Upernavik,GL,72.7868,-56.1549,26.94,78,97,5.23,overcast clouds
107,Atuona,PF,-9.8,-139.0333,77.94,72,35,19.89,scattered clouds
108,Hasaki,JP,35.7333,140.8333,70.2,63,56,7.54,broken clouds
109,Abu Zabad,SD,12.35,29.25,74.95,77,100,4.45,light rain
110,Hellin,ES,38.5106,-1.701,65.98,74,15,4.92,few clouds
111,Honiara,SB,-9.4333,159.95,85.87,65,8,8.12,clear sky
112,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,64,90,13.8,overcast clouds
113,Jamestown,US,42.097,-79.2353,76.59,78,20,6.91,few clouds
114,Akdepe,TM,42.0551,59.3788,53.69,21,0,10.65,clear sky
115,Sao Filipe,CV,14.8961,-24.4956,80.19,83,44,3.22,scattered clouds
116,Tasiilaq,GL,65.6145,-37.6368,37.56,73,69,8.99,broken clouds
117,Kodiak,US,57.79,-152.4072,53.49,64,64,17.4,broken clouds
118,Qaanaaq,GL,77.484,-69.3632,13.6,72,88,8.72,overcast clouds
119,Nova Vicosa,BR,-17.8919,-39.3719,73.85,79,16,7.61,few clouds
120,Beringovskiy,RU,63.05,179.3167,42.64,93,100,5.66,light rain
121,Kununurra,AU,-15.7667,128.7333,84.18,42,46,6.91,scattered clouds
122,Bredasdorp,ZA,-34.5322,20.0403,47.52,76,5,6.91,clear sky
123,Dera Bugti,PK,29.0307,69.151,88.7,40,33,0.87,scattered clouds
124,Jasper,US,37.2001,-94.3502,91.45,43,40,14.97,scattered clouds
125,Mali,GN,12.079,-12.2982,67.32,89,32,3.2,scattered clouds
126,Port Alfred,ZA,-33.5906,26.891,56.61,66,20,28.05,light rain
127,Longyearbyen,SJ,78.2186,15.6401,40.84,93,90,2.3,light rain
128,Karratha,AU,-20.7377,116.8463,76.06,25,100,25.72,overcast clouds
129,Cidreira,BR,-30.1811,-50.2056,66.42,98,75,3.83,broken clouds
130,Severo-Kurilsk,RU,50.6789,156.125,49.57,77,38,30.0,light rain
131,Sabha,LY,27.0377,14.4283,82.74,19,0,11.25,clear sky
132,Port Lincoln,AU,-34.7333,135.8667,53.38,62,93,14.81,overcast clouds
133,Namibe,AO,-15.1961,12.1522,62.19,83,9,5.7,clear sky
134,Broome,US,42.2506,-75.833,68.58,63,1,8.05,clear sky
