City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Sobolevo,RU,2021-09-20 01:52:57,54.4299,31.8996,42.35,96,100,13.11
117,Lekoni,GA,2021-09-20 01:52:58,-1.5843,14.2591,71.98,84,98,1.41
118,Viedma,AR,2021-09-20 01:53:00,-40.8135,-62.9967,46.9,89,11,7.65
119,Damietta,EG,2021-09-20 01:53:01,31.4165,31.8133,78.69,74,0,7.0
120,Takoradi,GH,2021-09-20 01:53:02,4.8845,-1.7554,74.98,93,100,6.8
121,Erbaa,TR,2021-09-20 01:53:03,40.6689,36.5675,61.97,88,18,1.16
122,Sao Joao Da Barra,BR,2021-09-20 01:53:05,-21.6403,-41.0511,74.52,85,100,5.35
123,Souillac,MU,2021-09-20 01:53:07,-20.5167,57.5167,68.38,60,20,6.91
124,Constitucion,CL,2021-09-20 01:53:08,-35.3333,-72.4167,48.56,85,0,9.46
125,Kapoeta,SS,2021-09-20 01:53:09,4.7717,33.5903,73.74,72,2,2.21
126,Arteaga,MX,2021-09-20 01:53:10,18.4667,-102.4167,64.08,96,41,1.59
127,Pangnirtung,CA,2021-09-20 01:53:12,66.1451,-65.7125,31.06,82,17,8.7
128,Norman Wells,CA,2021-09-20 01:53:13,65.282,-126.8329,48.24,71,75,6.91
129,Hambantota,LK,2021-09-20 01:53:14,6.1241,81.1185,79.14,100,20,3.44
130,Guerrero Negro,MX,2021-09-20 01:53:15,27.9769,-114.0611,69.24,78,0,17.92
131,Esperance,AU,2021-09-20 01:53:16,-33.8667,121.9,55.24,55,13,11.65
132,Cidreira,BR,2021-09-20 01:53:17,-30.1811,-50.2056,66.63,96,100,19.3
133,Hasaki,JP,2021-09-20 01:53:18,35.7333,140.8333,77.4,61,6,16.75
134,La Ronge,CA,2021-09-20 01:53:19,55.1001,-105.2842,52.05,62,20,3.44
135,Srandakan,ID,2021-09-20 01:53:21,-7.9386,110.2506,81.23,71,41,13.24
136,Alice Springs,AU,2021-09-20 01:53:21,-23.7,133.8833,71.15,26,0,12.66
137,Porto Nacional,BR,2021-09-20 01:53:23,-10.7081,-48.4172,82.4,25,5,0.76
138,Abashiri,JP,2021-09-20 01:53:24,44.0213,144.2697,64.69,55,40,10.36
139,Padang,ID,2021-09-20 01:53:26,-0.9492,100.3543,80.65,78,91,2.1
140,Buala,SB,2021-09-20 01:53:27,-8.145,159.5921,82.92,75,99,8.79
141,Tungor,RU,2021-09-20 01:53:28,53.3808,142.9564,54.12,52,18,21.54
142,Kodiak,US,2021-09-20 01:53:29,57.79,-152.4072,48.36,70,100,6.73
143,Bengkulu,ID,2021-09-20 01:53:30,-3.8004,102.2655,78.82,77,57,0.43
144,East London,ZA,2021-09-20 01:53:31,-33.0153,27.9116,60.21,82,18,12.15
145,Dikson,RU,2021-09-20 01:53:32,73.5069,80.5464,35.33,76,100,17.81
146,Celestun,MX,2021-09-20 01:53:33,20.8667,-90.4,81.68,83,25,14.09
147,Sabang,ID,2021-09-20 01:53:34,5.8933,95.3214,80.2,76,100,18.81
148,Malinyi,TZ,2021-09-20 01:53:35,-8.9333,36.1333,76.08,57,100,1.99
149,Shimoda,JP,2021-09-20 01:53:36,34.6667,138.95,77.36,55,0,16.17
150,Bambous Virieux,MU,2021-09-20 01:53:37,-20.3428,57.7575,68.25,60,20,6.91
151,Carmen,MX,2021-09-20 01:53:39,18.6333,-91.8333,82.96,80,47,14.0
152,Minatitlan,MX,2021-09-20 01:53:39,17.9833,-94.5167,77.68,89,97,5.48
153,Balili,PH,2021-09-20 01:53:40,7.895,123.7337,79.11,84,100,1.99
154,Margate,GB,2021-09-20 01:53:41,51.3813,1.3862,61.3,98,100,12.35
155,Quatre Cocos,MU,2021-09-20 01:53:43,-20.2078,57.7625,68.11,62,23,9.69
156,Los Banos,PH,2021-09-20 01:53:44,14.1667,121.1833,83.79,80,100,3.78
157,Mandalgovi,MN,2021-09-20 01:53:45,45.7625,106.2708,54.05,73,15,10.29
158,Mayumba,GA,2021-09-20 01:53:46,-3.432,10.6554,73.67,83,96,3.2
